Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
OILU,MicroSectors Oil & Gas Exp. & Prod. 3x Leveraged ETN,"$59,349",81.07%,"191,519",$41.70,5.44%,-3.67%,17.56%,99.71%,-0.99%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,"$53,972,384.36",Leveraged Equities,2021-11-08,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.24,2,100.00%,40%,20%,1099,$36.63,$46.54,N/A,N/A,51.76,N/A,N/A,A+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
INDL,Direxion Daily MSCI India Bull 2X ETF,"$58,145",-18.52%,"18,156",$46.10,-0.82%,1.61%,3.62%,-15.36%,0.23%,-1.83%,"$7,566,600.00",$0.00,"-$2,194,400.00","$1,664,700.00","-$4,913,200.00","-$28,451,050.00",Leveraged Equities,2010-03-11,1.23%,N/A,$0.64,2026-06-23,$0.12,1.38%,0.00,0.92,2,100.00%,40%,20%,1099,$41.91,$47.08,$45.96,$46.39,55.78,B+,B,N/A,C,A-,A,B+,5.35,18.18%,21.15%,614.26,3.15%,2.57%
RDTL,GraniteShares 2x Long RDDT Daily ETF,"$58,108",-72.57%,"696,277",$13.77,-5.43%,-34.08%,-49.66%,-74.38%,N/A,N/A,"$37,181,500.00","$24,151,500.00","$37,406,900.00","$65,005,100.00","$79,920,000.00","$79,920,000.00",Leveraged Equities,2025-03-25,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.69,1,100.00%,40%,20%,1099,$11.55,$29.62,$13.32,$14.41,39.42,N/A,A,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XNOV,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - November,"$57,068",5.80%,"14,731",$40.07,0.00%,0.70%,0.84%,11.40%,N/A,N/A,"$29,692,775.00",$0.00,"$992,850.00","$28,788,325.00","$50,040,375.00","$50,040,375.00",Leveraged Equities,2023-11-17,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.32,2,100.00%,40%,20%,1099,$39.57,$40.04,$40.06,$40.07,67.09,C+,C+,N/A,B-,C+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
NRGU,MicroSectors U.S. Big Oil 3 Leveraged ETN,"$56,153",124.29%,"103,286",$39.25,5.09%,-10.29%,18.69%,133.08%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$23,033,244.99","$23,033,244.99",Leveraged Equities,2025-02-19,2.60%,N/A,$0.00,N/A,N/A,0.00%,0.00,-1.83,9,89.90%,40%,20%,1099,$34.58,$46.73,N/A,N/A,51.31,N/A,B,N/A,N/A,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
VRTL,GraniteShares 2x Long VRT Daily ETF,"$54,308",92.30%,"266,997",$31.86,-2.39%,44.28%,-33.49%,116.43%,N/A,N/A,"$14,379,219.05","-$1,116,000.00","$15,728,800.00","$27,275,819.05","$37,510,519.05","$37,510,519.05",Leveraged Equities,2025-03-25,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.57,1,100.00%,40%,20%,1099,$21.89,$49.61,$30.19,$33.96,43.58,N/A,A-,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
NFLU,T-Rex 2X Long NFLX Daily Target ETF,"$54,119",-47.26%,"231,797",$17.11,-1.33%,1.06%,-6.40%,-69.58%,N/A,N/A,"$22,306,815.25","-$1,353,910.17","$2,493,230.44","$49,239,804.92","$78,528,930.03","$78,528,930.03",Leveraged Equities,2024-09-27,1.05%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.64,2,100.00%,40%,20%,1099,$14.22,$18.52,$16.72,$17.63,44.87,N/A,A-,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
EURL,Direxion Daily FTSE Europe Bull 3X ETF,"$53,310",24.66%,"21,883",$50.75,-0.14%,2.44%,10.95%,55.27%,35.80%,7.44%,"$9,606,300.00","-$2,439,600.00","-$2,439,600.00","-$3,073,400.00","-$3,496,100.00","-$18,377,400.00",Leveraged Equities,2014-01-22,1.04%,N/A,$0.74,2026-06-23,$0.39,1.45%,0.00,2.49,2,100.00%,40%,20%,1099,$43.11,$51.09,$50.36,$51.27,60.38,A-,B,N/A,B+,B+,A-,N/A,6.84,79.84%,62.77%,69.35,6.00%,2.76%
GOOX,T-Rex 2X Long Alphabet Daily Target ETF,"$52,553",13.51%,"94,769",$79.21,-2.08%,13.29%,-2.59%,166.57%,N/A,N/A,"-$4,154,641.35","-$3,670,021.92","-$2,860,827.88","-$3,628,873.49","$15,507,105.17","$15,507,105.17",Leveraged Equities,2024-01-11,1.05%,N/A,$0.00,2024-12-24,$5.30,0.00%,0.00,2.88,2,100.00%,40%,20%,1099,$63.09,$90.55,N/A,N/A,49.91,A,A-,N/A,A,A,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
QCML,GraniteShares 2x Long QCOM Daily ETF,"$50,246",-32.37%,"2,013,614",$14.40,3.97%,10.84%,-31.47%,-11.94%,N/A,N/A,"$88,664,300.00","-$1,703,200.00","-$19,628,500.00","$97,674,700.00","$103,322,000.00","$103,322,000.00",Leveraged Equities,2025-02-13,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,6.19,1,100.00%,40%,20%,1099,$11.60,$20.44,$13.71,$14.85,41.50,N/A,A-,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CRWL,GraniteShares 2x Long CRWD Daily ETF,"$49,919",132.51%,"174,409",$71.63,-2.49%,24.13%,4.78%,121.48%,N/A,N/A,"-$26,192,200.00",$0.00,"-$3,437,100.00","-$34,702,900.00","-$10,102,400.00","-$10,102,400.00",Leveraged Equities,2024-11-11,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.68,1,100.00%,40%,20%,1099,$50.40,$78.18,$68.78,$73.05,59.65,N/A,A-,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BNKU,MicroSectors U.S. Big Banks 3 Leveraged ETN,"$47,278",33.31%,"11,914",$45.18,-4.74%,4.35%,3.39%,97.03%,N/A,N/A,$0.00,$0.00,$0.00,"$12,368,495.51","$12,368,495.51","$12,368,495.51",Leveraged Equities,2025-02-19,2.60%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.67,9,90.20%,40%,20%,1099,$42.08,$47.37,$44.21,$47.07,55.65,N/A,B,N/A,N/A,B-,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MSOX,AdvisorShares MSOS Daily Leveraged ETF,"$44,772",-47.77%,"2,323,522",$2.34,13.59%,4.00%,-9.30%,-50.53%,-65.74%,N/A,"$29,308,115.00",$0.00,"$2,503,400.00","$67,541,570.00","$196,371,829.85","$217,188,089.85",Leveraged Equities,2022-08-24,0.97%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.48,4,100.00%,40%,20%,1099,$2.00,$2.80,$2.13,$2.47,45.35,C,A-,N/A,C,C,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AMZZ,GraniteShares 2x Long AMZN Daily ETF,"$44,735",23.18%,"176,975",$38.77,-0.46%,29.74%,17.65%,24.57%,N/A,N/A,"-$18,824,700.00","-$4,264,600.00","-$7,426,600.00","-$32,545,800.00","$29,602,976.10","$29,602,976.10",Leveraged Equities,2024-03-04,1.15%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.44,1,100.00%,40%,20%,1099,$25.38,$41.88,N/A,N/A,59.04,A-,A,N/A,A,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XJUL,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - July,"$44,545",5.96%,"16,788",$41.42,-0.02%,1.28%,1.57%,10.23%,10.62%,N/A,"-$8,030,775.00","$2,071,350.00","$2,071,350.00","-$9,000,150.00","$2,436,800.00","$27,822,775.00",Leveraged Equities,2023-07-21,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.34,2,100.00%,40%,20%,1099,$40.43,$41.42,N/A,N/A,71.30,C+,B+,N/A,B,C+,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MRAL,GraniteShares 2x Long MARA Daily ETF,"$42,962",-18.93%,"113,525",$37.21,-9.88%,-19.32%,-40.28%,-80.38%,N/A,N/A,"-$669,605.86","$1,379,400.00","$1,040,300.00","$91,171,894.14","$154,336,994.14","$154,336,994.14",Leveraged Equities,2025-03-07,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,8.03,1,100.00%,40%,20%,1099,$36.02,$59.05,$35.84,$39.73,41.10,N/A,A,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XJAN,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - January,"$41,844",5.64%,"4,255",$38.91,-0.03%,0.88%,0.92%,10.04%,N/A,N/A,"$826,950.00",$0.00,$0.00,"-$4,247,375.00","$28,479,225.00","$28,479,225.00",Leveraged Equities,2024-01-19,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.34,2,100.00%,40%,20%,1099,$38.29,$38.91,$38.89,$38.94,65.11,C+,C+,N/A,B-,C+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UYM,ProShares Ultra Materials,"$40,552",26.60%,"8,258",$30.92,-2.18%,1.53%,6.74%,34.10%,9.59%,6.53%,"-$1,069,360.00",$0.00,$0.00,"-$3,416,224.00","-$16,789,867.50","-$49,816,330.00",Leveraged Equities,2007-01-30,0.95%,N/A,$0.34,2026-06-24,$0.06,1.12%,0.00,1.87,27,68.35%,40%,20%,1099,$28.21,$31.50,$30.70,$31.29,53.49,B+,B-,N/A,C+,A-,B+,A-,7.15,85.38%,75.56%,554.58,3.56%,2.31%
SMCL,GraniteShares 2x Long SMCI Daily ETF,"$39,196",-63.45%,"781,069",$11.02,-6.21%,10.24%,-1.47%,-88.93%,N/A,N/A,"$38,897,056.96","-$499,500.00","$2,868,700.00","$66,822,856.96","$151,437,456.96","$151,437,456.96",Leveraged Equities,2024-12-12,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,8.22,1,100.00%,40%,20%,1099,$7.72,$13.49,$10.60,$11.82,45.91,N/A,A,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UTSL,Direxion Daily Utilities Bull 3X ETF,"$38,115",-1.95%,"115,325",$39.41,-1.70%,-8.52%,-12.01%,-4.51%,21.89%,5.43%,"-$12,000,100.00","$2,006,050.00","-$2,735,800.00","$2,485,800.00","-$22,509,100.00","-$22,128,800.00",Leveraged Equities,2017-05-03,0.97%,N/A,$0.70,2026-06-23,$0.13,1.79%,0.00,1.70,32,68.64%,40%,20%,1099,$39.92,$49.30,$38.20,$41.15,37.43,B+,B,N/A,B-,B+,A-,N/A,6.76,77.08%,58.97%,1646.76,38.53%,6.00%
EET,ProShares Ultra MSCI Emerging Markets,"$36,259",30.25%,"13,416",$104.21,-2.60%,2.13%,-6.17%,61.33%,28.90%,3.30%,"-$233,315.00",$0.00,"-$1,895,027.00","-$1,133,953.00","$1,063,006.50","-$19,318,098.50",Leveraged Equities,2009-06-02,0.95%,N/A,$1.60,2026-06-24,$0.41,1.54%,0.00,1.49,2,100.00%,40%,20%,1099,$95.10,$110.72,$103.97,$104.61,48.36,A-,B-,N/A,B+,A,A-,B-,0.0,N/A,N/A,N/A,N/A,N/A
NVYY,GraniteShares YieldBOOST NVDA ETF,"$35,186",0.50%,"76,089",$12.26,0.16%,1.82%,0.02%,-1.07%,N/A,N/A,"-$19,940,200.00",$0.00,"-$757,200.00","$44,172,400.00","$98,738,000.00","$98,738,000.00",Leveraged Equities,2025-05-12,1.15%,N/A,$14.43,2026-07-31,$0.11,117.69%,0.00,0.92,4,100.00%,40%,20%,1099,$12.02,$12.46,$12.22,$12.29,50.61,N/A,A-,N/A,N/A,N/A,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AVGU,GraniteShares 2x Long AVGO Daily ETF,"$34,742",21.46%,"137,709",$41.85,1.55%,16.97%,7.20%,41.12%,N/A,N/A,"$20,299,200.00","-$1,961,000.00","-$5,480,000.00","$45,512,500.00","$45,784,200.00","$45,784,200.00",Leveraged Equities,2025-07-15,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,7.11,1,100.00%,40%,20%,1099,$31.51,$41.44,$40.49,$43.16,56.49,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UMDD,ProShares UltraPro MidCap400,"$33,968",43.48%,"7,209",$36.59,-0.97%,5.54%,2.95%,60.59%,20.42%,3.91%,"-$5,008,598.00",$0.00,"-$351,229.00","-$7,763,810.00","-$13,470,030.00","-$19,552,462.00",Leveraged Equities,2010-02-11,0.95%,N/A,$0.24,2026-06-24,$0.04,0.65%,0.00,3.04,401,45.96%,40%,20%,1099,$33.79,$37.02,$36.29,$37.19,54.98,B,C+,N/A,C+,B,B+,A,5.96,46.64%,32.36%,119.98,3.48%,3.89%
UXI,ProShares Ultra Industrials,"$33,155",35.15%,"4,475",$62.59,-1.99%,6.98%,3.51%,40.77%,33.92%,13.88%,"-$3,585,290.00",$0.00,$0.00,"-$2,133,616.00","-$9,677,384.00","-$15,198,230.50",Leveraged Equities,2007-01-30,0.95%,N/A,$0.30,2026-06-24,$0.03,0.48%,0.00,2.03,84,61.88%,40%,20%,1099,$57.22,$63.78,$62.21,$63.34,55.87,B+,C+,N/A,B,A-,B,A,6.76,76.68%,58.75%,76.29,19.48%,1.68%
XFEB,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - February,"$31,253",6.02%,"1,691",$37.87,0.00%,0.85%,1.00%,10.36%,N/A,N/A,"-$13,640,750.00",$0.00,$0.00,"-$20,597,350.00","$21,979,825.00","$21,979,825.00",Leveraged Equities,2024-02-16,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.36,2,100.00%,40%,20%,1099,$37.26,$37.87,$37.84,$37.88,65.20,C+,C+,N/A,B,C+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MSFX,T-Rex 2X Long Microsoft Daily Target ETF,"$30,844",-7.46%,"321,681",$25.31,4.46%,22.09%,63.71%,-30.71%,N/A,N/A,"$15,201,217.72","-$12,153,528.89","-$14,658,885.09","$22,151,465.67","$27,880,277.94","$27,880,277.94",Leveraged Equities,2024-01-11,1.05%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.70,2,100.00%,40%,20%,1099,$11.24,$25.10,$24.46,$25.78,74.20,B+,B+,N/A,A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SAA,ProShares Ultra SmallCap600,"$30,567",45.63%,"5,438",$37.46,-1.58%,3.11%,2.97%,68.23%,18.19%,5.31%,"-$863,804.00",$0.00,$0.00,"-$13,128,267.00","-$13,378,614.00","-$13,701,313.00",Leveraged Equities,2007-01-23,0.95%,N/A,$0.28,2026-06-24,$0.03,0.75%,0.00,2.03,602,32.38%,40%,20%,1099,$35.26,$38.12,$37.29,$37.79,56.23,B,C+,N/A,C+,B+,B+,A,5.61,26.88%,25.51%,111.16,2.51%,5.44%
RETL,Direxion Daily Retail Bull 3X ETF,"$29,898",4.32%,"641,723",$9.56,-4.88%,-2.65%,8.51%,10.05%,7.62%,-25.53%,"-$9,438,350.00","-$437,950.00","-$4,254,750.00","-$17,159,200.00","-$51,258,300.00","$5,776,450.00",Leveraged Equities,2010-07-14,0.96%,N/A,$0.05,2026-06-23,$0.03,0.52%,0.00,3.47,76,26.80%,40%,20%,1099,$8.58,$10.48,$9.43,$9.77,52.85,B+,B+,N/A,B+,C+,B,A-,5.92,44.66%,31.36%,17.54,1.68%,1.86%
SPCU,Defiance Daily Target 2X Long SpaceX ETF,"$29,893",N/A,N/A,$8.44,12.68%,0.36%,-47.18%,N/A,N/A,N/A,"$76,186,321.00","$3,586,272.00","$11,877,855.00","$76,186,321.00","$76,186,321.00","$76,186,321.00",Leveraged Equities,2026-06-12,1.31%,N/A,$0.00,N/A,N/A,0.00%,0.00,-14.04,4,102.46%,40%,20%,1099,$5.98,$14.16,$7.49,$8.96,31.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TEMT,Tradr 2X Long TEM Daily ETF,"$29,823",-57.61%,"322,313",$14.56,-2.61%,7.93%,-46.65%,-69.55%,N/A,N/A,"$18,960,391.62",$0.00,"$23,210.50","$5,583,888.62","$57,681,684.62","$57,681,684.62",Leveraged Equities,2025-05-12,1.31%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.85,2,100.00%,40%,20%,1099,$8.48,$25.28,$13.91,$15.09,42.83,N/A,A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XAPR,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - April,"$29,667",4.95%,"5,086",$38.25,-0.08%,1.02%,1.01%,8.15%,N/A,N/A,"-$26,575,425.00",$0.00,"-$1,895,100.00","-$23,857,425.00","$23,067,625.00","$23,067,625.00",Leveraged Equities,2024-04-19,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.10,2,100.00%,40%,20%,1099,$37.56,$38.27,$38.24,$38.26,63.71,B-,B+,N/A,B+,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
EFO,ProShares Ultra MSCI EAFE,"$29,062",23.38%,"5,909",$78.21,0.88%,3.28%,7.26%,44.01%,27.02%,9.27%,"$1,203,630.00","-$1,504,078.00","-$784,170.00","$1,304,641.00","$8,963,544.00","$7,833,156.00",Leveraged Equities,2009-06-04,0.95%,N/A,$1.18,2026-06-24,$0.29,1.51%,0.00,1.57,2,100.00%,40%,20%,1099,$69.62,$77.78,$77.83,$78.61,61.49,B+,B-,N/A,B,A,A-,B-,0.0,N/A,N/A,N/A,N/A,N/A
QUBX,Tradr 2X Long QUBT Daily ETF,"$27,815",-62.46%,"551,309",$8.21,-2.15%,19.16%,-14.21%,-91.43%,N/A,N/A,"$21,075,547.50","$624,510.00","$486,900.00","$136,878,563.66","$153,368,441.66","$153,368,441.66",Leveraged Equities,2025-06-23,1.30%,N/A,$0.00,N/A,N/A,0.00%,0.00,8.43,2,100.00%,40%,20%,1099,$5.69,$8.91,$7.77,$8.58,47.17,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MVPL,Miller Value Partners Leverage ETF,"$26,851",22.74%,680,$44.59,-0.73%,7.26%,4.00%,34.71%,N/A,N/A,"$1,181,500.00",$0.00,"$829,048.00","$1,476,219.00","$17,262,549.90","$17,262,549.90",Leveraged Equities,2024-02-28,1.72%,N/A,$0.00,2024-12-27,$2.07,0.00%,0.00,1.76,2,100.00%,40%,20%,1099,$40.14,$44.88,$44.55,$44.66,60.26,A-,B-,N/A,A,A-,A-,N/A,6.43,37.07%,45.32%,90.18,9.78%,8.97%
UBOT,"Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X ETF","$26,547",-5.02%,"20,892",$24.17,-2.46%,11.38%,0.12%,6.57%,6.81%,-10.06%,"-$5,500,800.00",$0.00,$0.00,"-$6,633,650.00","-$16,517,000.28","-$2,208,600.28",Leveraged Equities,2018-04-19,1.32%,N/A,$0.19,2026-06-23,$0.07,0.77%,0.00,2.90,2,100.00%,40%,20%,1099,$19.51,$25.07,$23.96,$24.49,51.64,B-,B,N/A,B-,B,B,N/A,6.21,52.57%,37.92%,14.25,1.14%,6.22%
XTOC,Innovator U.S. Equity Accelerated Plus ETF - October,"$23,897",9.78%,"6,998",$36.75,-0.08%,1.04%,1.14%,15.11%,14.79%,N/A,"$3,410,522.50","-$1,838,235.00","-$2,749,092.50","$7,506,877.50","-$1,546,362.50","$14,579,150.95",Leveraged Equities,2021-10-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.76,2,100.00%,40%,20%,1099,$36.03,$36.78,$36.72,$36.80,62.85,B-,C+,N/A,B-,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XAUG,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - August,"$23,640",5.26%,"12,795",$39.40,0.00%,0.23%,0.55%,9.28%,N/A,N/A,"-$6,965,050.00",$0.00,"-$980,925.00","-$6,091,275.00","$13,227,100.00","$13,227,100.00",Leveraged Equities,2023-08-18,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.31,2,100.00%,40%,20%,1099,$39.14,$39.42,$39.37,$39.44,68.60,C+,B,N/A,B,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XTAP,Innovator U.S. Equity Accelerated Plus ETF,"$23,089",13.57%,675,$46.21,0.00%,1.46%,1.47%,19.14%,17.54%,10.92%,"-$1,986,335.00",$0.00,$0.00,"-$7,902,775.00","$2,846,192.50","$6,459,692.50",Leveraged Equities,2021-03-31,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.75,3,100.00%,40%,20%,1099,$45.06,$46.18,N/A,N/A,65.98,B-,C+,N/A,B,A,C,N/A,6.5,72.97%,47.94%,91.35,11.63%,10.67%
TWOX,iShares Large Cap Accelerated Outcome ETF,"$22,700",6.09%,"6,234",$29.86,-0.17%,3.23%,2.35%,15.07%,N/A,N/A,"-$2,026,083.60",$0.00,$0.00,"$7,044,430.52","$9,887,764.16","$9,887,764.16",Leveraged Equities,2025-01-15,0.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.73,2,100.00%,40%,20%,1099,$28.44,$29.91,$29.85,$29.88,64.29,N/A,C,N/A,N/A,B-,C,N/A,6.47,60.47%,46.80%,91.15,10.59%,9.72%
SPAL,GraniteShares 2x Long SpaceX Daily ETF,"$22,515",N/A,N/A,$10.63,12.13%,0.47%,-46.73%,N/A,N/A,N/A,"$47,869,800.00","$2,080,500.00","$7,261,400.00","$47,869,800.00","$47,869,800.00","$47,869,800.00",Leveraged Equities,2026-06-15,1.50%,N/A,N/A,N/A,N/A,N/A,0.00,-13.88,1,100.00%,40%,20%,1099,$7.58,$17.70,$9.44,$11.28,31.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X ETF,"$22,470",68.78%,"73,245",$20.72,1.77%,1.32%,-1.10%,274.08%,32.08%,-1.15%,"-$3,690,100.00",$0.00,"-$850,700.00","-$3,881,650.00","-$3,811,550.00","$3,760,800.00",Leveraged Equities,2017-11-15,0.98%,N/A,$0.07,2026-06-23,$0.02,0.33%,0.00,1.72,65,26.20%,40%,20%,1099,$17.92,$20.56,N/A,N/A,61.41,C+,B,N/A,C+,B-,B+,C,5.02,5.93%,16.93%,55.6,0.00%,9.20%
UPSX,Tradr 2X Long UPST Daily ETF,"$22,432",-68.46%,"80,800",$15.61,-3.04%,20.38%,-21.93%,-89.63%,N/A,N/A,"-$4,343,707.50","-$295,264.50","-$432,456.00","$110,564,065.14","$119,545,438.64","$119,545,438.64",Leveraged Equities,2025-06-09,1.30%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.20,2,100.00%,40%,20%,1099,$11.22,$19.71,$14.80,$16.64,46.90,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UXOC,FT Vest U.S. Equity Uncapped Accelerator ETF - October,"$22,233",13.50%,"2,156",$40.36,-0.39%,4.26%,2.53%,23.15%,N/A,N/A,"-$26,684,150.00",$0.00,$0.00,"-$17,755,100.00","$12,928,150.00","$12,928,150.00",Leveraged Equities,2024-10-18,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.12,2,100.00%,40%,20%,1099,$37.89,$40.54,$40.31,$40.38,60.66,N/A,B,N/A,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
QTOC,Innovator Growth Accelerated Plus ETF - October,"$22,164",12.72%,"6,658",$38.54,0.08%,1.99%,1.40%,18.30%,19.03%,N/A,"$3,939,552.50",$0.00,"-$929,812.50","-$3,436,680.00","-$520,997.50","$13,913,390.68",Leveraged Equities,2021-09-30,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.94,2,100.00%,40%,20%,1099,$37.29,$38.61,$38.51,$38.55,60.75,B-,B-,N/A,B,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
WANT,Direxion Daily Consumer Discretionary Bull 3X ETF,"$21,643",-14.53%,"31,884",$42.71,-1.11%,14.81%,0.87%,-2.61%,9.92%,-8.81%,"$801,800.00","$1,848,500.00","$3,532,500.00","-$1,813,050.00","-$32,188,500.00","-$2,369,850.00",Leveraged Equities,2018-11-29,1.00%,N/A,$0.22,2026-06-23,$0.10,0.52%,0.00,3.68,48,80.36%,40%,20%,1099,$33.92,$45.86,$42.24,$43.23,53.76,B,B-,N/A,A-,B-,B,N/A,5.67,32.81%,26.35%,55.57,17.30%,0.43%
SMHB,ETRACS 2xMonthly Pay Leveraged US Small Cap High Dividend ETN Series B,"$21,331",1.56%,"21,939",$3.96,-1.98%,-0.73%,-2.68%,-6.80%,-17.41%,-19.78%,$0.00,$0.00,$0.00,$0.00,"-$2,248,500.00","$8,633,050.00",Leveraged Equities,2018-11-08,1.65%,N/A,$0.00,2020-07-13,$0.07,0.00%,0.00,2.04,0,N/A,40%,20%,1099,$3.96,$4.29,$3.89,$4.06,46.39,C+,B,N/A,C,B,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XTJA,Innovator U.S. Equity Accelerated Plus ETF - January,"$20,831",9.80%,"3,227",$34.72,-0.06%,1.49%,1.50%,15.96%,14.67%,N/A,"$1,703,047.50",$0.00,$0.00,"-$2,175,650.00","-$4,045,822.50","$12,726,827.79",Leveraged Equities,2022-01-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.82,2,100.00%,40%,20%,1099,$33.83,$34.74,$34.71,$34.73,64.03,B-,C+,N/A,B-,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
QTJA,Innovator Growth Accelerated Plus ETF - January,"$20,825",11.64%,"3,284",$33.28,-0.03%,2.37%,1.07%,19.03%,17.58%,N/A,"-$1,187,760.00",$0.00,$0.00,"-$91,787.50","-$27,865,877.50","$8,021,119.54",Leveraged Equities,2022-01-03,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.96,2,100.00%,40%,20%,1099,$32.07,$33.44,N/A,N/A,58.35,B-,B-,N/A,B,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
