Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
FNGO,MicroSectors FANG+ Index 2X Leveraged ETNs,"$740,642",26.93%,"6,128",$147.91,-0.62%,17.14%,9.52%,31.49%,56.42%,25.93%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2018-08-01,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.66,10,100.00%,40%,20%,1099,$116.37,$149.87,$147.01,$149.30,60.93,B-,B-,N/A,A,B,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
YINN,Direxion Daily FTSE China Bull 3X ETF,"$725,470",-26.53%,"2,031,363",$30.98,-0.99%,-4.59%,22.89%,-28.07%,-6.48%,-32.73%,"$73,568,700.00","-$14,570,400.00","-$13,803,800.00","-$214,151,500.00","$36,561,100.00","$1,014,950,109.02",Leveraged Equities,2009-12-03,1.34%,N/A,$0.38,2026-06-23,$0.21,1.22%,0.00,1.03,2,100.00%,40%,20%,1099,$24.37,$33.60,$30.56,$31.25,58.07,A+,A,N/A,A,B-,A-,A-,6.51,67.98%,48.47%,138.22,0.15%,3.01%
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X ETF,"$624,388",-15.32%,"1,504,248",$41.85,-6.86%,8.81%,2.05%,-38.14%,-19.37%,-12.99%,"-$16,495,600.00","-$3,041,550.00","-$9,392,500.00","$240,512,150.00","$452,338,850.00","$276,267,900.00",Leveraged Equities,2015-08-19,0.96%,N/A,$0.31,2026-06-23,$0.10,0.73%,0.00,3.86,44,72.69%,40%,20%,1099,$36.65,$45.49,$40.48,$44.00,49.81,C+,A-,N/A,C,C,B+,C,6.53,69.57%,49.50%,54.09,0.00%,11.91%
NVDU,Direxion Daily NVDA Bull 2X ETF,"$605,429",19.21%,"478,152",$138.85,-0.30%,25.32%,14.06%,17.12%,N/A,N/A,"-$191,478,825.00","-$27,152,550.00","-$63,126,800.00","-$160,263,675.00","$151,131,400.00","$151,131,400.00",Leveraged Equities,2023-09-13,0.92%,N/A,$6.88,2026-06-23,$0.69,4.95%,0.00,3.80,2,100.00%,40%,20%,1099,$107.49,$141.00,$135.43,$143.43,56.89,A-,A-,N/A,A-,C+,A,N/A,5.72,39.13%,28.10%,1.61,0.00%,9.67%
LABU,Direxion Daily S&P Biotech Bull 3X ETF,"$580,822",64.57%,"543,464",$262.31,2.60%,5.43%,-19.11%,326.58%,35.74%,-26.47%,"-$484,644,000.00","$23,904,200.00","-$15,083,550.00","-$1,101,850,900.00","-$1,320,648,077.68","$381,642,122.32",Leveraged Equities,2015-05-28,0.96%,N/A,$1.01,2025-12-23,$0.91,0.39%,0.00,2.44,148,15.95%,40%,20%,1099,$222.35,$287.56,$253.96,$272.38,54.27,C+,A-,N/A,C,C,B,C+,4.49,1.58%,11.68%,33.27,0.00%,4.80%
SPYU,MAX S&P 500 4X Leveraged ETN,"$580,266",31.11%,"820,767",$35.95,-0.80%,14.31%,6.11%,56.71%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$221,958,807.87","$221,958,807.87",Leveraged Equities,2023-12-05,2.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.18,0,N/A,40%,20%,1099,$29.50,$36.50,$35.62,$36.43,58.90,B-,A-,N/A,B,B-,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DDM,ProShares Ultra Dow30,"$555,127",22.13%,"195,205",$69.05,-1.76%,6.35%,4.86%,42.28%,26.72%,14.07%,"-$61,069,770.00","$3,279,960.00","-$15,785,825.00","-$21,360,750.00","-$124,592,795.00","-$196,664,385.00",Leveraged Equities,2006-06-19,0.95%,N/A,$0.54,2026-06-24,$0.17,0.78%,0.00,1.73,36,63.32%,40%,20%,1099,$62.41,$69.65,$68.46,$70.12,60.87,A-,B+,N/A,B,A-,B+,A-,6.84,79.45%,62.31%,19.79,15.19%,1.50%
NBOS,Neuberger Option Strategy ETF,"$524,736",9.68%,"94,627",$28.50,0.00%,1.71%,1.73%,17.85%,N/A,N/A,"$47,940,600.00","$31,257,920.00","$71,336,895.00","$50,311,712.50","-$4,501,652.50","-$4,501,652.50",Leveraged Equities,2024-01-29,0.57%,N/A,$2.27,2026-07-28,$0.19,7.95%,0.00,0.43,10,100.00%,40%,20%,1099,$27.70,$28.47,N/A,N/A,64.29,B,B+,N/A,B,C+,A-,N/A,5.71,26.16%,27.09%,1.23,0.00%,0.00%
MULL,GraniteShares 2x Long MU Daily ETF,"$509,256",424.03%,"10,680,042",$18.80,-2.69%,0.43%,-29.00%,2793.61%,N/A,N/A,"$30,381,196.00","-$29,034,700.00","-$164,052,700.00","$60,160,596.00","$65,711,796.00","$65,711,796.00",Leveraged Equities,2024-11-11,1.50%,N/A,$0.01,2025-12-29,$0.35,0.07%,0.00,12.11,1,100.00%,40%,20%,1099,$14.36,$26.90,$16.77,$20.49,45.99,N/A,A-,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
JNUG,Direxion Daily Junior Gold Miners Index Bull 2X ETF,"$463,122",-29.27%,"318,800",$144.50,-0.18%,20.79%,18.83%,69.68%,68.66%,15.85%,"$18,420,550.00",$0.00,"$21,608,100.00","-$173,160,200.00","-$459,836,700.00","-$569,555,850.00",Leveraged Equities,2013-10-03,1.03%,N/A,$2.91,2026-06-23,$0.56,2.02%,0.00,1.64,2,100.00%,40%,20%,1099,$97.75,$138.48,$139.85,$148.13,55.06,B+,B+,N/A,A,C,B+,B+,5.57,26.09%,24.84%,212.24,0.55%,0.00%
NVDX,T-Rex 2X Long NVIDIA Daily Target ETF,"$450,645",15.30%,"8,950,034",$19.74,-0.10%,25.10%,13.64%,7.69%,N/A,N/A,"-$259,450,083.50","-$33,126,270.75","-$53,121,515.26","-$253,779,696.86","-$103,915,190.73","-$103,915,190.73",Leveraged Equities,2023-10-19,1.05%,N/A,$0.00,2024-12-24,$2.17,0.00%,0.00,4.05,3,100.00%,40%,20%,1099,$15.31,$20.10,$19.23,$20.48,56.64,A,A,N/A,A,A,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DFEN,Direxion Daily Aerospace & Defense Bull 3X ETF,"$436,930",33.50%,"211,075",$85.21,-2.34%,15.52%,11.30%,60.41%,75.36%,37.16%,"-$15,305,100.00","-$8,738,600.00","-$9,012,100.00","-$46,774,600.00","-$87,275,250.00","-$254,097,500.00",Leveraged Equities,2017-05-03,0.96%,N/A,$5.66,2026-06-23,$0.02,6.64%,0.00,2.25,49,75.05%,40%,20%,1099,$63.40,$87.33,$82.35,$89.97,58.94,A,B+,N/A,A,B,A,N/A,5.77,40.71%,28.92%,25.96,42.94%,0.02%
CONL,GraniteShares 2x Long COIN Daily ETF,"$414,098",-73.17%,"20,334,952",$3.93,-5.53%,-22.49%,-20.12%,-87.73%,-33.34%,N/A,"$549,193,500.00","$11,428,600.00","-$83,248,500.00","$745,274,100.00","$1,709,359,000.00","$1,716,988,023.32",Leveraged Equities,2022-08-09,1.04%,N/A,$0.00,2024-02-27,$0.11,0.00%,0.00,5.98,1,100.00%,40%,20%,1099,$3.84,$5.89,$3.83,$4.13,40.81,B,A,N/A,A-,C,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DPST,Direxion Daily Regional Banks Bull 3X ETF,"$409,238",47.99%,"353,747",$148.09,-3.16%,2.27%,6.50%,78.93%,21.83%,-14.96%,"-$455,276,800.00","-$52,948,200.00","-$66,835,850.00","-$669,919,600.00","-$1,036,922,500.00","-$887,488,479.95",Leveraged Equities,2015-08-19,0.92%,N/A,$2.18,2026-06-23,$0.67,1.47%,0.00,2.53,160,20.69%,40%,20%,1099,$137.53,$155.91,$144.96,$153.92,55.34,B+,A-,N/A,B-,C+,A-,A-,4.84,3.56%,15.37%,5.06,0.00%,1.41%
PTIR,GraniteShares 2x Long PLTR Daily ETF,"$352,790",-42.54%,"5,462,642",$15.36,-3.09%,53.75%,35.09%,-50.72%,N/A,N/A,"$36,527,900.00","-$69,003,000.00","-$53,915,800.00","$32,503,500.00","-$29,408,935.74","-$29,408,935.74",Leveraged Equities,2024-09-03,1.04%,N/A,$1.55,2025-12-29,$1.55,10.11%,0.00,2.33,1,100.00%,40%,20%,1099,$8.07,$15.50,$14.80,$15.85,60.13,A-,A,N/A,A+,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
URTY,ProShares UltraPro Russell2000,"$351,264",58.80%,"852,397",$84.14,-1.58%,5.43%,-0.30%,106.39%,23.79%,-3.51%,"-$179,424,155.00","$7,985,780.00","$34,005.00","-$241,953,770.00","-$142,007,385.00","-$34,837,365.00",Leveraged Equities,2010-02-11,0.95%,N/A,$0.63,2026-06-24,$0.17,0.75%,0.00,3.31,1964,67.92%,40%,20%,1099,$77.02,$86.30,$83.14,$85.97,53.93,A-,A-,N/A,B-,B-,B+,A,5.44,21.34%,22.68%,145.05,1.17%,2.08%
AMZU,Direxion Daily AMZN Bull 2X ETF,"$334,495",20.89%,"3,199,566",$41.77,-0.31%,29.88%,17.30%,20.41%,23.32%,N/A,"-$116,870,125.00","-$49,442,450.00","-$77,263,300.00","-$148,787,975.00","$145,581,825.00","$174,407,950.00",Leveraged Equities,2022-09-07,0.99%,N/A,$2.02,2026-06-23,$0.17,4.83%,0.00,2.49,2,100.00%,40%,20%,1099,$27.43,$45.15,N/A,N/A,58.92,A,A,N/A,B+,B-,A,N/A,5.33,17.00%,20.77%,20.89,15.30%,0.00%
MSTU,T-Rex 2X Long MSTR Daily Target ETF,"$333,465",-77.44%,"68,958,256",$1.88,-2.59%,-2.34%,1.35%,-97.41%,N/A,N/A,"$518,402,400.00","-$19,282,800.00","-$16,460,800.00","$1,327,305,337.50","$2,367,622,637.50","$2,367,622,637.50",Leveraged Equities,2024-09-18,1.05%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.42,3,100.00%,40%,20%,1099,$1.68,$2.10,$1.82,$1.94,41.07,N/A,A,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
INTW,GraniteShares 2x Long INTC Daily ETF,"$320,372",334.02%,"6,159,634",$23.41,-2.66%,17.88%,-26.78%,1077.87%,N/A,N/A,"-$12,205,300.00","-$21,573,600.00","-$42,767,700.00","$667,700.00","$43,665,200.00","$43,665,200.00",Leveraged Equities,2025-02-13,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,14.02,1,100.00%,40%,20%,1099,$16.31,$30.45,$21.55,$25.20,45.31,N/A,A,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
